ACLBSL,1409.0,0.0,1417.0,1407.0,1409.0
ADBL,417.0,-0.24,423.0,416.1,416.5
AHPC,590.0,-1.5,601.0,585.0,600.0
AIL,727.0,-0.95,738.0,721.0,721.0
AKJCL,323.0,0.62,330.0,317.0,318.0
AKPL,581.0,-0.38,589.9,571.6,571.6
ALBSL,1560.0,-1.02,1580.0,1520.1,1545.0
ALICL,1000.0,0.5,1020.0,987.0,988.0
API,544.0,-0.91,553.0,540.0,550.0
BARUN,542.0,0.74,555.0,534.1,538.0
BBC,5036.0,0.12,5230.0,5036.0,5130.0
BFC,510.0,0.39,518.1,500.0,518.1
BNHC,670.0,-4.29,713.0,655.0,686.0
BNT,14006.1,-1.99,14101.0,14006.1,14101.0
BOKL,290.5,-0.17,292.0,285.3,285.3
BPCL,456.1,-0.85,465.0,456.0,460.0
CBBL,1343.0,0.67,1358.0,1334.0,1334.0
CBL,258.0,1.45,258.7,255.0,256.0
CCBL,253.0,-0.39,257.0,250.9,254.0
CFCL,486.0,0.0,498.0,480.0,480.0
CGH,1420.0,0.0,1446.0,1405.0,1405.0
CHCL,525.0,0.38,530.0,520.0,525.0
CHDC,1057.0,-1.67,1090.0,1055.0,1075.0
CHL,502.0,2.34,509.0,485.1,490.0
CIT,3350.0,-0.45,3400.0,3298.0,3298.0
CLBSL,1105.0,0.45,1105.5,1095.0,1100.0
CMF1,10.13,0.0,10.33,10.0,10.33
CMF2,10.42,-1.23,10.42,10.35,10.35
CORBL,590.0,0.0,599.7,580.0,585.0
CZBIL,291.5,-0.51,294.0,291.0,292.0
DDBL,1268.0,-0.16,1289.0,1256.0,1260.0
DHPL,321.0,1.58,327.6,312.0,312.1
EBL,581.0,0.17,585.0,576.1,578.0
EDBL,545.0,-0.71,553.0,540.09,540.09
EIC,720.0,0.98,728.0,701.0,701.0
EICPO,463.0,3.81,463.0,451.0,454.0
FMDBL,868.0,0.12,883.9,850.0,883.9
FOWAD,2450.0,-0.24,2489.0,2440.0,2454.0
GBBL,599.0,-0.5,607.0,595.1,595.1
GBIME,360.0,0.28,364.0,357.0,358.0
GBLBS,1040.0,-0.67,1057.5,1028.0,1028.0
GFCL,690.0,1.55,698.0,672.0,680.0
GHL,346.0,1.76,350.0,334.1,339.0
GIC,660.0,1.38,690.0,638.0,638.0
